 -80.0      80.0       0.0     270.0      90.0     160.0      2  4  3
19780906060000
     0.000     0.000     0.000     0.000
     0.000     0.000     0.000     0.000
    18.450    18.450    18.450    18.450
    18.450    18.450    18.450    18.450
19780906120000
     0.000     0.000     0.000     0.000
     0.000     0.000     0.000     0.000
    18.450    18.450    18.450    18.450
    18.450    18.450    18.450    18.450
19780906180000
     0.000     0.000     0.000     0.000
     0.000     0.000     0.000     0.000
    18.450    18.450    18.450    18.450
    18.450    18.450    18.450    18.450
19780907000000
     0.000     0.000     0.000     0.000
     0.000     0.000     0.000     0.000
    18.450    18.450    18.450    18.450
    18.450    18.450    18.450    18.450
19780907060000
     0.000     0.000     0.000     0.000
     0.000     0.000     0.000     0.000
    18.450    18.450    18.450    18.450
    18.450    18.450    18.450    18.450
19780907120000
     0.000     0.000     0.000     0.000
     0.000     0.000     0.000     0.000
    18.450    18.450    18.450    18.450
    18.450    18.450    18.450    18.450
19780907180000
     0.000     0.000     0.000     0.000
     0.000     0.000     0.000     0.000
    18.450    18.450    18.450    18.450
    18.450    18.450    18.450    18.450
19780908000000
     0.000     0.000     0.000     0.000
     0.000     0.000     0.000     0.000
    18.450    18.450    18.450    18.450
    18.450    18.450    18.450    18.450
19780908060000
     0.000     0.000     0.000     0.000
     0.000     0.000     0.000     0.000
    18.450    18.450    18.450    18.450
    18.450    18.450    18.450    18.450
19780908120000
     0.000     0.000     0.000     0.000
     0.000     0.000     0.000     0.000
    18.450    18.450    18.450    18.450
    18.450    18.450    18.450    18.450
19780908180000
     0.000     0.000     0.000     0.000
     0.000     0.000     0.000     0.000
    18.450    18.450    18.450    18.450
    18.450    18.450    18.450    18.450
